name,quantities_required,crop_type,target_price
Ron Prestedge,857,Coffee,908.45
Jareb Ratt,615,Peas,838.19
Dolorita Perotti,182,Tomatoes,531.36
Elora Copplestone,33,Sunflowers,803.24
Alexandro Hicklingbottom,445,Tea,180.06
Roselia Phinnessy,333,Wheat,739.08
Aldus Ellice,931,Canola,488.95
Drucie Vobes,292,Tomatoes,121.62
Tessy Francescotti,231,Tomatoes,332.76
Tiertza Badini,661,Tomatoes,351.04
Fidela Le Noury,876,Pumpkins,258.5
Patience Kilmaster,713,Wheat,684.79
Rutter Philippet,581,Carrots,557.4
Billy Chevers,344,Wheat,949.26
Justin Yukhnov,50,Tomatoes,496.41
Ethelind Denidge,968,Tomatoes,328.0
Donielle Southon,42,Pumpkins,531.63
Paulette Futter,7,Pumpkins,978.13
Ann-marie Braam,159,Broccoli,600.1
Miguelita Ailsbury,557,Tea,637.44
Jewell Hubery,797,Squash,199.36
Josepha Rhoddie,351,Carrots,212.92
Natty Fairrie,793,Cucumbers,206.85
Rory Bearcroft,91,Tomatoes,204.47
Baryram Newlands,712,Squash,202.46
Iris Braker,881,Coffee,866.27
Bibbie Bettleson,224,Apples,584.3
Hadlee Tupie,523,Apples,470.22
Vinita Maycey,571,Broccoli,648.61
Jeffrey Kensington,597,Oats,541.83
Linnea McCutcheon,947,Quinoa,818.2
Hervey Froom,330,Corn,755.22
Aryn Ligoe,784,Barley,656.99
Beck Hay,397,Wheat,723.14
Link Hattrick,416,Squash,785.83
Georgy Espinet,550,Tomatoes,261.88
Annice Rizzardi,64,Cotton,904.91
Arly Moreno,722,Lettuce,286.7
Emanuele Chaney,498,Tomatoes,37.49
Noellyn Caudell,779,Cucumbers,266.45
Donia Ropp,541,Cucumbers,232.18
Lou Whiteley,347,Tomatoes,968.23
Celle O'Quin,541,Barley,994.04
Chick Cootes,277,Peppers,463.1
Faustine Bernath,386,Cotton,308.33
Banky Tolworthy,287,Canola,529.41
Bearnard Opfer,463,Tomatoes,948.92
Valentina Daffey,141,Squash,457.43
April Klimushev,67,Pumpkins,143.63
Templeton Frentz,799,Corn,469.25
