name,crop_type
Shelagh Trusler,Sunset Orchard
Alverta Pleuman,Eastwood Farms
Tiffie Philliphs,Spring Meadow Farm
Kirk Kinney,Prairie Wind Farms
Paulette Sherrum,Sunny Meadow Farm
Diane-marie Timmes,Sunny Meadow Farm
Roze Bennison,Maplewood Poultry Farm
Hort Balaison,Winterfell Ranch
Deeanne Tolliday,Eastwood Farms
Rand de Copeman,Northern Light Farm
Alverta Pleuman,Northern Light Farm
Deeanne Tolliday,Silver Lake Dairy
Buddy Bediss,Meadowbrook Estate
Trenton Beavon,Eastwood Farms
Shawnee Tirone,Rolling Hills Vineyard
Trenton Beavon,Sunny Meadow Farm
Ulric Grinham,Eastwood Farms
Roze Bennison,Riverbend Cattle Co.
Dewain McCloch,Sunny Meadow Farm
Jarred Wimp,Rainforest Coffee Plantation
Roze Bennison,Autumn Ridge Farm
Eric Davidof,Blue Sky Orchards
Lynnett Nilles,Riverbend Cattle Co.
Oberon Soal,Eastwood Farms
Ulric Grinham,Prairie Wind Farms
Brigitte Ebben,Silver Lake Dairy
Melodee Mance,Eastwood Farms
Shelagh Trusler,Whispering Pines Farmstead
Rois Height,Eastwood Farms
Jarred Wimp,Willow Creek Homestead
Paulette Sherrum,Highland Farm
Ricky D'Cruze,Silver Lake Dairy
Morley Murrigan,Autumn Ridge Farm
Maxim Hammerton,Prairie Wind Farms
Oberon Soal,Blue Sky Orchards
Eduardo Dresser,Blue Sky Orchards
Amabel Diament,Willow Creek Homestead
Laurene Castrillo,Rainforest Coffee Plantation
Loretta Jedraszczyk,Eastwood Farms
Ulric Grinham,Silver Lake Dairy
Lucienne Diano,Silver Lake Dairy
Amabel Diament,Winterfell Ranch
Michael Pilbury,Whispering Pines Farmstead
Ricky D'Cruze,Autumn Ridge Farm
Faydra Besnardeau,Island Retreat Farm
Mead Dionisetto,Riverbend Cattle Co.
Ulric Grinham,Highland Farm
Lowe Rhys,Prairie Wind Farms
Shelagh Trusler,Sunny Meadow Farm
Melodee Mance,Island Retreat Farm
Domini Grigoriscu,Twilight Vineyards
Gavrielle Sellick,Prairie Wind Farms
Shawnee Tirone,Winterfell Ranch
Kirk Kinney,Silver Lake Dairy
Oberon Soal,Blue Sky Orchards
Gasparo Welbourn,Eastwood Farms
Rois Height,Rolling Hills Vineyard
Brigitte Ebben,Prairie Wind Farms
Diane-marie Timmes,Blue Sky Orchards
Leanor Le Gallo,Eastwood Farms
Gasparo Welbourn,Northern Light Farm
Shawnee Tirone,Island Retreat Farm
Jarred Wimp,Autumn Ridge Farm
Mead Dionisetto,Rolling Hills Vineyard
Sargent Olsen,Autumn Ridge Farm
Domini Grigoriscu,Autumn Ridge Farm
Sargent Olsen,Riverbend Cattle Co.
Gasparo Welbourn,Twilight Vineyards
Filide O'Daly,Autumn Ridge Farm
Lynnett Nilles,Silver Lake Dairy
Diane-marie Timmes,Twilight Vineyards
Julian Gurnay,Island Retreat Farm
Shelagh Trusler,Maplewood Poultry Farm
Gavrielle Sellick,Twilight Vineyards
Buddy Bediss,Prairie Wind Farms
Rand de Copeman,Sunny Meadow Farm
Dewain McCloch,Spring Meadow Farm
Kirk Kinney,Sunny Meadow Farm
Buddy Bediss,Eastwood Farms
Ulric Grinham,Rolling Hills Vineyard
Lynnett Nilles,Autumn Ridge Farm
Laurene Castrillo,Rolling Hills Vineyard
Kirk Kinney,Meadowbrook Estate
Magdaia Duffet,Eastwood Farms
Tiffie Philliphs,Blue Sky Orchards
Kirk Kinney,Rolling Hills Vineyard
Lowe Rhys,Blue Sky Orchards
Rand de Copeman,Prairie Wind Farms
Licha Surgenor,Rolling Hills Vineyard
Kirk Kinney,Eastwood Farms
Sargent Olsen,Riverbend Cattle Co.
Shawnee Tirone,Maplewood Poultry Farm
Eduardo Dresser,Whispering Pines Farmstead
Saraann Arthan,Sunny Meadow Farm
Diane-marie Timmes,Rolling Hills Vineyard
Amabel Diament,Golden Harvest Acres
Magdaia Duffet,Island Retreat Farm
Brigitte Ebben,Highland Farm
Oberon Soal,Winterfell Ranch
Clevie Oki,Riverbend Cattle Co.
Zelda Brockman,Twilight Vineyards
Saraann Arthan,Prairie Wind Farms
Buddy Bediss,Rolling Hills Vineyard
Julian Gurnay,Rolling Hills Vineyard
Morley Murrigan,Island Retreat Farm
Alverta Pleuman,Silver Lake Dairy
Shawnee Tirone,Sunny Meadow Farm
Jarred Wimp,Eastwood Farms
Lowe Rhys,Eastwood Farms
Mead Dionisetto,Maplewood Poultry Farm
Leanor Le Gallo,Blue Sky Orchards
Saraann Arthan,Sunset Orchard
Eduardo Dresser,Eastwood Farms
Lucienne Diano,Sunny Meadow Farm
Eduardo Dresser,Island Retreat Farm
Laurene Castrillo,Twilight Vineyards
Saraann Arthan,Twilight Vineyards
Brigitte Ebben,Island Retreat Farm
Licha Surgenor,Blue Sky Orchards
Licha Surgenor,Riverbend Cattle Co.
Gasparo Welbourn,Island Retreat Farm
Shawnee Tirone,Silver Lake Dairy
Morley Murrigan,Eastwood Farms
Laurene Castrillo,Spring Meadow Farm
Saraann Arthan,Silver Lake Dairy
Maxim Hammerton,Sunny Meadow Farm
Gasparo Welbourn,Highland Farm
Jarred Wimp,Northern Light Farm
Kenyon Andriveaux,Highland Farm
Licha Surgenor,Blue Sky Orchards
Melodee Mance,Blue Sky Orchards
Sargent Olsen,Golden Harvest Acres
Licha Surgenor,Whispering Pines Farmstead
Filide O'Daly,Winterfell Ranch
Roze Bennison,Autumn Ridge Farm
Loretta Jedraszczyk,Sunset Orchard
Laurene Castrillo,Island Retreat Farm
Lynnett Nilles,Rainforest Coffee Plantation
Shelagh Trusler,Willow Creek Homestead
Licha Surgenor,Sunny Meadow Farm
Tiffie Philliphs,Eastwood Farms
Rand de Copeman,Twilight Vineyards
Gavrielle Sellick,Prairie Wind Farms
Filide O'Daly,Maplewood Poultry Farm
Kirk Kinney,Winterfell Ranch
Licha Surgenor,Twilight Vineyards
Klemens Collishaw,Highland Farm
Jarred Wimp,Golden Harvest Acres
Saraann Arthan,Rainforest Coffee Plantation
Zelda Brockman,Twilight Vineyards
Brigitte Ebben,Blue Sky Orchards
Sargent Olsen,Blue Sky Orchards
Paulette Sherrum,Northern Light Farm
Maxim Hammerton,Rolling Hills Vineyard
Rois Height,Eastwood Farms
Buddy Bediss,Willow Creek Homestead
Brigitte Ebben,Twilight Vineyards
Lucienne Diano,Maplewood Poultry Farm
Rand de Copeman,Winterfell Ranch
Loretta Jedraszczyk,Riverbend Cattle Co.
Oberon Soal,Rolling Hills Vineyard
Tadeo Bacop,Rolling Hills Vineyard
Magdaia Duffet,Winterfell Ranch
Melodee Mance,Twilight Vineyards
Ulric Grinham,Blue Sky Orchards
Ricky D'Cruze,Blue Sky Orchards
Eric Davidof,Winterfell Ranch
Amabel Diament,Prairie Wind Farms
Sargent Olsen,Island Retreat Farm
Kenyon Andriveaux,Riverbend Cattle Co.
Maxim Hammerton,Maplewood Poultry Farm
Shelagh Trusler,Spring Meadow Farm
Rand de Copeman,Prairie Wind Farms
Lynnett Nilles,Golden Harvest Acres
Licha Surgenor,Silver Lake Dairy
Oberon Soal,Blue Sky Orchards
Brigitte Ebben,Silver Lake Dairy
Faydra Besnardeau,Riverbend Cattle Co.
Brigitte Ebben,Twilight Vineyards
Gavrielle Sellick,Sunny Meadow Farm
Hort Balaison,Sunny Meadow Farm
Sargent Olsen,Meadowbrook Estate
Kenyon Andriveaux,Spring Meadow Farm
Tadeo Bacop,Winterfell Ranch
Filide O'Daly,Winterfell Ranch
Tadeo Bacop,Meadowbrook Estate
Saraann Arthan,Spring Meadow Farm
Shawnee Tirone,Blue Sky Orchards
Toinette Maceur,Silver Lake Dairy
Hort Balaison,Prairie Wind Farms
Toinette Maceur,Highland Farm
Clevie Oki,Prairie Wind Farms
Ricky D'Cruze,Silver Lake Dairy
Dewain McCloch,Spring Meadow Farm
Leanor Le Gallo,Autumn Ridge Farm
Buddy Bediss,Eastwood Farms
Maxim Hammerton,Riverbend Cattle Co.
Buddy Bediss,Island Retreat Farm
Lucienne Diano,Autumn Ridge Farm
Eduardo Dresser,Prairie Wind Farms
