name,farm_id,crop_type,harvest_year
Arty Seston,39,Blue Sky Orchards,2011
Noelle Bidgod,40,Twilight Vineyards,2005
Allie Shippard,22,Riverbend Cattle Co.,2009
Catharine Placstone,29,Highland Farm,2001
Suzanna Fazzioli,28,Spring Meadow Farm,2000
Sanford Labone,4,Eastwood Farms,2000
Liv Burchett,17,Prairie Wind Farms,2010
Sybyl Lackeye,12,Silver Lake Dairy,1996
Giselle Fickling,19,Island Retreat Farm,2004
Lyndell Hurtic,14,Rainforest Coffee Plantation,2002
Arty Seston,39,Island Retreat Farm,2009
Arty Seston,32,Autumn Ridge Farm,1994
Annemarie Uzzell,28,Prairie Wind Farms,2008
Sybyl Lackeye,1,Blue Sky Orchards,2011
Ignacius Barracks,19,Eastwood Farms,2010
Sophia Cockerill,35,Willow Creek Homestead,2008
Suzanna Fazzioli,6,Prairie Wind Farms,1997
Cameron Menloe,8,Winterfell Ranch,1997
Karleen Mahaddy,19,Winterfell Ranch,1999
Liv Burchett,36,Twilight Vineyards,2000
Abbey Szymaniak,31,Winterfell Ranch,2000
Catharine Placstone,9,Eastwood Farms,1998
Karleen Mahaddy,39,Autumn Ridge Farm,2009
Morena Pien,6,Twilight Vineyards,2001
Winslow Thowes,37,Spring Meadow Farm,2000
Annemarie Uzzell,28,Island Retreat Farm,2011
Catharine Placstone,31,Winterfell Ranch,2007
Cleavland Flory,36,Island Retreat Farm,1991
Abbey Szymaniak,37,Highland Farm,1998
Cameron Menloe,34,Rolling Hills Vineyard,2010
Rhoda Curlis,4,Highland Farm,1998
Annemarie Uzzell,18,Rainforest Coffee Plantation,1988
Giselle Fickling,15,Eastwood Farms,2002
Annemarie Uzzell,10,Sunny Meadow Farm,2002
Annemarie Uzzell,22,Blue Sky Orchards,1994
Zonda Janoch,33,Eastwood Farms,2009
Giselle Fickling,20,Sunset Orchard,2011
Julian Tyres,28,Meadowbrook Estate,1997
Sybyl Lackeye,39,Maplewood Poultry Farm,2012
Arty Seston,28,Riverbend Cattle Co.,2011
Maribel Hancke,3,Rolling Hills Vineyard,2009
Duffie Di Iorio,22,Rainforest Coffee Plantation,2008
Duffie Di Iorio,11,Highland Farm,1996
Danni Gerritsma,34,Highland Farm,2010
Sophia Cockerill,19,Whispering Pines Farmstead,2002
Catharine Placstone,18,Sunny Meadow Farm,2010
Karleen Mahaddy,38,Sunny Meadow Farm,2001
Ricca Eagle,33,Twilight Vineyards,1970
Sanford Labone,1,Blue Sky Orchards,2010
Rhoda Curlis,3,Island Retreat Farm,1995
Suzanna Fazzioli,10,Silver Lake Dairy,2004
