purchase_id,crop_type,farm_id,purchase_complete,total_price,total_quantity,purchase_date,farmer_name
1,Blue Sky Orchards,1,false,74030.49,2844,5/8/2023,Jennie Hainning
2,Rolling Hills Vineyard,34,true,10194.93,5911,5/31/2023,Rebecka Godmar
3,Rainforest Coffee Plantation,29,true,99919.96,3064,3/20/2023,Kimberly Wasiel
4,Twilight Vineyards,20,true,88177.15,2289,5/23/2023,Kacy Boles
5,Sunny Meadow Farm,14,true,82755.1,4478,11/17/2023,Washington Malone
6,Blue Sky Orchards,21,false,83109.66,418,9/17/2023,Ira Kubik
7,Blue Sky Orchards,18,true,94976.72,9362,5/21/2023,Cosmo Harcourt
8,Maplewood Poultry Farm,20,false,36751.85,4081,10/15/2023,Lurleen Cornwall
9,Riverbend Cattle Co.,33,false,97559.33,4955,9/29/2023,Lilith Barreau
10,Meadowbrook Estate,15,true,41577.66,1076,5/24/2023,Mannie Llewellyn
11,Prairie Wind Farms,3,true,51371.68,8087,10/28/2023,Archy McAuliffe
12,Eastwood Farms,12,true,65555.82,9306,2/15/2023,Boot Glossop
13,Sunny Meadow Farm,22,false,29856.2,3544,12/31/2022,Claiborne Sidnell
14,Sunny Meadow Farm,32,false,87134.64,8497,9/9/2023,Betteann Bauer
15,Sunny Meadow Farm,27,false,83483.39,9036,11/8/2023,Kellsie Fitchell
16,Spring Meadow Farm,19,false,34688.16,3008,11/7/2023,Tootsie Brittian
17,Sunset Orchard,37,true,55652.9,9791,9/12/2023,Melodie Tegeller
18,Blue Sky Orchards,32,false,17781.86,5174,5/31/2023,Veronika Banger
19,Winterfell Ranch,5,true,80859.24,1067,11/5/2023,Keeley Lilliman
20,Prairie Wind Farms,25,false,52641.29,2662,9/14/2023,Leon Riddlesden
21,Prairie Wind Farms,7,false,27401.03,7194,4/12/2023,Aurie Lowensohn
22,Blue Sky Orchards,39,true,64694.3,9670,7/25/2023,Killie Prudence
23,Twilight Vineyards,2,false,21606.42,6292,4/21/2023,Allin MacDonell
24,Golden Harvest Acres,9,false,19851.76,880,11/29/2023,Nara Hurne
25,Willow Creek Homestead,17,false,88868.35,7774,8/6/2023,Renell Heeks
26,Eastwood Farms,9,true,97739.51,7273,11/13/2023,Luis Sautter
27,Willow Creek Homestead,32,true,79250.35,8950,8/17/2023,Jennilee Hucquart
28,Silver Lake Dairy,28,true,5004.34,1870,4/29/2023,Romona Rigeby
29,Meadowbrook Estate,30,false,15953.73,5435,10/9/2023,Sherill MacInerney
30,Riverbend Cattle Co.,10,false,45502.82,8789,10/29/2023,Hephzibah Abbatt
31,Twilight Vineyards,24,false,73527.44,3224,4/1/2023,Aubrette Matussevich
32,Highland Farm,37,true,9471.05,5691,1/22/2023,Geneva Akhurst
33,Golden Harvest Acres,5,false,97447.37,1631,9/28/2023,Cahra Leeke
34,Winterfell Ranch,20,true,39467.02,4528,12/13/2022,Ardys Lyngsted
35,Meadowbrook Estate,27,false,67377.86,5783,10/25/2023,Lavena Knightsbridge
36,Prairie Wind Farms,10,false,63470.25,5482,2/21/2023,Armand Masham
37,Meadowbrook Estate,26,false,543.64,7724,8/10/2023,Franklin Petrik
38,Sunny Meadow Farm,24,false,91506.95,882,5/28/2023,Ines Bettaney
39,Silver Lake Dairy,10,false,11947.33,7487,4/8/2023,Chantalle Wyllcocks
40,Prairie Wind Farms,16,false,76434.64,2853,1/7/2023,Thedric Hartright
41,Eastwood Farms,1,true,33725.75,1235,9/5/2023,Jennie Hainning
42,Spring Meadow Farm,34,true,25092.15,6002,4/3/2023,Rebecka Godmar
43,Rolling Hills Vineyard,29,false,43567.61,4007,8/31/2023,Kimberly Wasiel
44,Autumn Ridge Farm,20,true,10767.48,7779,6/10/2023,Kacy Boles
45,Riverbend Cattle Co.,14,true,65287.48,5083,4/20/2023,Washington Malone
46,Blue Sky Orchards,21,false,27706.64,9313,11/1/2023,Ira Kubik
47,Meadowbrook Estate,18,true,83000.18,5633,10/15/2023,Cosmo Harcourt
48,Autumn Ridge Farm,20,false,49636.59,7937,7/9/2023,Lurleen Cornwall
49,Eastwood Farms,33,false,36137.66,4160,9/10/2023,Lilith Barreau
50,Whispering Pines Farmstead,15,true,24895.41,7967,2/16/2023,Mannie Llewellyn
51,Spring Meadow Farm,3,false,15366.36,7172,10/4/2023,Archy McAuliffe
52,Prairie Wind Farms,12,true,21458.21,8548,10/18/2023,Boot Glossop
53,Spring Meadow Farm,22,false,35183.9,7204,8/16/2023,Claiborne Sidnell
54,Riverbend Cattle Co.,32,true,12108.83,3856,8/12/2023,Betteann Bauer
55,Blue Sky Orchards,27,true,75216.12,7770,11/9/2023,Kellsie Fitchell
56,Spring Meadow Farm,19,true,14649.56,830,7/31/2023,Tootsie Brittian
57,Autumn Ridge Farm,37,false,56462.31,9229,6/24/2023,Melodie Tegeller
58,Winterfell Ranch,32,false,91558.3,7932,4/17/2023,Veronika Banger
59,Silver Lake Dairy,5,false,41438.48,4064,1/18/2023,Keeley Lilliman
60,Twilight Vineyards,25,true,49803.81,6850,3/18/2023,Leon Riddlesden
61,Autumn Ridge Farm,7,true,59191.3,1635,2/18/2023,Aurie Lowensohn
62,Eastwood Farms,39,true,23511.91,3903,1/19/2023,Killie Prudence
63,Prairie Wind Farms,2,true,42528.3,5069,9/17/2023,Allin MacDonell
